"","Estimator","estimator","N_reps","abs_bias_Ya1","estimator_variance_Ya1","mean_variance_Ya1","bias_se_ratio_Ya1","coverage_Ya1","O_coverage_Ya1","abs_bias_RD","estimator_variance_RD","mean_variance_RD","bias_se_ratio_RD","coverage_RD","O_coverage_RD","abs_log_bias_RR","estimator_variance_RR","mean_variance_RR","bias_se_ratio_RR","coverage_RR","O_coverage_RR"
"1","iptw","res_EN",1000,0.00199901207818287,2.76277395525224e-06,2.24649139441199e-06,1.33371500892837,69.3,82,0.00248689325008828,3.11829064563174e-06,2.55141981222734e-06,1.55691958492352,61.9,75.1,0.321919936180001,0.0110959403372103,0.0529051688146221,1.39958352203903,75.3,79.9
"2","iptw","res_EN_undersmooth",1000,0.00189928614133296,5.41168629072047e-06,4.00427300632094e-06,0.949136247835619,90.8,94.2,0.00659203603559035,6.04392374144946e-06,4.09862066439717e-06,3.25612231107608,20,23.9,0.357434629534246,0.0108004955446786,0.0504652469591566,1.59111080418855,68.6,76.6
"3","iptw","res_EN_undersmooth_untruncated",1000,0.00229933878840484,9.01851999913305e-06,8.47122873554091e-06,0.790004857081773,91.3,94.3,0.00668885574213677,9.77004462529333e-06,8.56557921389696e-06,2.28545914271111,33.1,38.5,0.395203610736487,0.0179737883416557,0.0856631259003241,1.35028034126039,71.4,81.7
"4","iptw","res_EN_untruncated",1000,0.00205305473813506,2.82276722568819e-06,2.34620347713788e-06,1.34034837314568,68.3,81.7,0.00254289300784317,3.17605583577453e-06,2.65121508637571e-06,1.56172875398059,60.6,73.2,0.331144893204535,0.011333748587448,0.0554513030520525,1.40624886150139,74.4,79.4
"5","iptw","res_glm",1000,0.00198657736250846,5.65930006930459e-06,4.20470598649985e-06,0.968807886919055,90.8,93.5,0.00195197345747709,6.03791995418078e-06,4.52492869434055e-06,0.917630918159138,90.1,95.6,0.214744010770839,0.0219701562949685,0.0515830465220898,0.945513134215969,89.6,95.2
"6","iptw","res_glm_untruncated",1000,0.00248014450753223,1.06200715258951e-05,1.03800730771673e-05,0.769798003777842,92.5,94.2,0.00249847821959047,1.11141870322649e-05,1.07002951406009e-05,0.763796544882142,88.3,95.5,0.268341660357724,0.0411641766054306,0.0947114989166358,0.871940294017778,92.2,94.7
"7","iptw","res_glmnet",1000,0.00198327096392032,2.77944015117175e-06,2.17650240371161e-06,1.3443194373106,68.1,82.9,0.00255945506636301,3.1371371348083e-06,2.47829581920002e-06,1.62581429353584,58.6,72.7,0.323918854590398,0.0110091709094859,0.0508669107980694,1.43621198462242,73.8,79.5
"8","iptw","res_glmnet_undersmooth",1000,0.00190762006554397,5.43765009035472e-06,4.01321666510311e-06,0.952238153542057,90.6,94.2,0.00656919021491527,6.06980864163536e-06,4.10756496152353e-06,3.24130289437662,20.5,24.4,0.355225070203105,0.0108522790463727,0.0503160772414715,1.5836172405281,68.8,76.8
"9","iptw","res_glmnet_undersmooth_untruncated",1000,0.00231299145014905,9.1211122378425e-06,8.55633992387005e-06,0.790733270865128,91.5,94.2,0.00666797864266025,9.87416756647384e-06,8.65069103829883e-06,2.26709019917477,33.6,39.4,0.39338596709526,0.0181782373402877,0.0857561692999786,1.34334071279803,71.6,82
"10","iptw","res_glmnet_untruncated",1000,0.00201738568713904,2.8426337458562e-06,2.27252881442732e-06,1.33824070630489,67.9,82.9,0.00259531122115871,3.21223283624143e-06,2.57435958605653e-06,1.61753929561204,58.2,72.5,0.330184380368223,0.0112706622073332,0.0530320857495807,1.43379536016148,73.6,80.3
"11","iptw","res_RF",1000,0.0017930993692578,5.17391039677458e-06,7.42982155772859e-07,2.08024825355094,53.1,95.3,0.00318460703594583,5.6737472596413e-06,9.78794339809484e-07,3.21891957298501,31.1,76.5,0.277342146259117,0.0159909880408591,0.0112344627603385,2.61661434264272,44.8,89
"12","iptw","res_RF_untruncated",1000,0.00189167860485147,5.87128143234419e-06,8.64021425948963e-07,2.03509691447435,52,95.6,0.0031856673972468,6.28543385732711e-06,1.10004556583247e-06,3.03735177685921,33.5,80.4,0.278906205954097,0.0179234438038224,0.0117381021806971,2.5743004642113,46.3,89.4
"13","iptw","res_ridge",1000,0.00240162133403021,2.48999357993323e-06,3.37884577782939e-06,1.30653289347621,69.6,68.2,0.00233434699937299,2.81263764987796e-06,3.73165943928971e-06,1.20841028536103,75.1,75,0.361382510402475,0.0108922380784123,0.0947333435441852,1.17412868295065,87,77.3
"14","iptw","res_ridge_undersmooth",1000,0.00170522216217321,3.6858173236152e-06,4.95860492645841e-06,0.765775054017306,91,93.2,0.00806954495197261,4.29708293462489e-06,5.05293489148931e-06,3.58985737222868,9.3,2.7,0.523812038755604,0.00735621031240176,0.0906728537759213,1.73954966772665,65.4,51.9
"15","iptw","res_ridge_undersmooth_untruncated",1000,0.00206239271961939,5.76986722724078e-06,1.05607898536826e-05,0.634633753279802,89,95.1,0.00812757599337808,6.47491626311531e-06,1.06551226898912e-05,2.48989946255731,26.9,10.5,0.553451409030035,0.0114967620206504,0.166044850325158,1.35820958793446,75.2,62.5
