"","Estimator","estimator","N_reps","abs_bias_Ya1","estimator_variance_Ya1","mean_variance_Ya1","bias_se_ratio_Ya1","coverage_Ya1","O_coverage_Ya1","abs_bias_RD","estimator_variance_RD","mean_variance_RD","bias_se_ratio_RD","coverage_RD","O_coverage_RD","abs_log_bias_RR","estimator_variance_RR","mean_variance_RR","bias_se_ratio_RR","coverage_RR","O_coverage_RR"
"1","iptw","res_EN",1000,0.001963633340615,2.75696851934923e-06,2.24565675128255e-06,1.31035421449671,70,83,0.00249503168726447,3.11760816860157e-06,2.55061006544758e-06,1.56226258186201,61.7,74.8,0.320309504847491,0.0110797332785295,0.0528705022251235,1.39303846403358,75.5,80.4
"2","iptw","res_EN_undersmooth",1000,0.00190448709986168,5.40317810895395e-06,4.00008803260652e-06,0.952233071543578,90.9,94.2,0.00660586007148418,6.04443996273523e-06,4.09444581225144e-06,3.2646137547387,19.7,23.6,0.356082159451735,0.0107894778687573,0.0504320946750003,1.58561122507362,68.8,76.7
"3","iptw","res_glm",1000,0.00199545428676748,5.65052166118588e-06,4.20029137661029e-06,0.973648218987421,90.6,93.4,0.0019519592402913,6.03741940647587e-06,4.52055114655046e-06,0.918068425121954,89.9,95.6,0.214709098998805,0.0219528254532858,0.0515513068491056,0.945650398291901,89.4,95.1
"4","iptw","res_glm_untruncated",1000,0.00248739690398154,1.06131344455606e-05,1.03798315119691e-05,0.772058017751699,92.7,93.9,0.00249895861191522,1.11132190490727e-05,1.07000912819092e-05,0.763950680385566,88.3,95.5,0.268285124874096,0.0411476041015542,0.0946777664226065,0.871911873642496,92.4,94.6
"5","iptw","res_glmnet",1000,0.00194918343691654,2.7739919153724e-06,2.17562143865156e-06,1.3214813778021,69.2,83.9,0.00256808511903251,3.13702707263454e-06,2.47744292556765e-06,1.63157704017695,58.4,72.5,0.322339633665825,0.0109948031024408,0.0508370041831561,1.42963026373775,74.3,79.8
"6","iptw","res_glmnet_undersmooth",1000,0.00191326617415297,5.42908414087637e-06,4.00903948613015e-06,0.955553981771672,90.9,94,0.00658300007005411,6.07026362886301e-06,4.10339790412411e-06,3.24976564767926,20,24.3,0.353876600879416,0.0108411652677797,0.0502830956969277,1.57812297813247,69.1,77
"7","iptw","res_glmnet_undersmooth_untruncated",999,0.00231798215746957,9.12111302090007e-06,8.55881083504565e-06,0.792325028229656,91.5915915915916,94.0940940940941,0.00667789382492124,9.88164661045317e-06,8.6531676396733e-06,2.27013639285978,33.5335335335335,39.039039039039,0.391950939549431,0.0181827611660188,0.0857575603648074,1.33842950230999,71.7717717717718,82.1821821821822
"8","iptw","res_glmnet_untruncated",1000,0.00198293244952328,2.83615679699851e-06,2.2714316214862e-06,1.31570366988371,69.3,83.7,0.00260423437999772,3.21145850783877e-06,2.57329155916071e-06,1.62343748758876,58.1,72.3,0.328647520316521,0.0112530210092298,0.0529999782803079,1.42755389729385,74.1,80.5
"9","iptw","res_random_forest",1000,0.00324859883948821,4.79533313954642e-06,1.08231998295893e-06,3.12261359632763,28.3,71.5,0.00425821540815075,5.3700164021276e-06,1.35771334481998e-06,3.65446312268041,21,55.2,0.168212392246802,0.00953231214814551,0.00916435391841743,1.75714281408279,63.2,92.8
"10","iptw","res_random_forest_untruncated",999,0.00324935600267182,4.79971740379245e-06,1.26004713948285e-06,2.89470225408815,30.3303303303303,71.6716716716717,0.00425701623713182,5.37376854352305e-06,1.53513025865783e-06,3.43583809498121,22.7227227227227,55.3553553553553,0.168228534268908,0.00954012674766428,0.0105850960578458,1.63512989686299,64.1641641641642,92.7927927927928
