,estimator,N_reps.x,abs_bias_Ya1,estimator_variance_Ya1,mean_variance_Ya1,bias_se_ratio_Ya1,coverage_Ya1,O_coverage_Ya1,abs_bias_RD,estimator_variance_RD,mean_variance_RD,bias_se_ratio_RD,coverage_RD,O_coverage_RD,abs_log_bias_RR,estimator_variance_RR,mean_variance_RR,bias_se_ratio_RR,coverage_RR,O_coverage_RR
25,ridge_undersmooth_markov,500,0.001816318,4.74E-06,4.81E-06,0.827795864,94.2,93.4,0.001851228,5.05E-06,4.91E-06,0.835818239,89.2,95,0.20204056,0.017806494,0.060603895,0.820707298,94.2,96
24,ridge_undersmooth,500,0.001771527,4.63E-06,4.83E-06,0.805919836,95.4,93.8,0.001872597,4.95E-06,4.93E-06,0.843774266,88.8,94.4,0.202974973,0.017260513,0.062615297,0.811152045,94.2,95.6
5,EN_undersmooth_markov,500,0.0019623,5.53E-06,3.91E-06,0.992023215,88.6,93,0.001963164,5.87E-06,4.00E-06,0.981080452,86.4,95.6,0.215724424,0.020964261,0.048030701,0.984328041,87,95.2
17,glmnet_undersmooth_markov,500,0.001963775,5.54E-06,3.92E-06,0.991708963,88.6,93,0.001964226,5.88E-06,4.01E-06,0.980587254,86.6,95.6,0.215817799,0.020993199,0.048126911,0.983769303,87.2,95.2
4,EN_undersmooth,500,0.001930932,5.44E-06,3.97E-06,0.969260639,89.4,93.6,0.002011596,5.96E-06,4.09E-06,0.994833746,86.6,95.4,0.215816249,0.020547494,0.04957647,0.969273496,87.8,95.8
16,glmnet_undersmooth,500,0.001932417,5.45E-06,3.98E-06,0.969112514,89.4,93.6,0.002012147,5.97E-06,4.10E-06,0.994211875,86.6,95.4,0.215879853,0.020572458,0.049660153,0.9687419,87.8,95.8
9,glm,500,0.002140045,6.21E-06,4.09E-06,1.058016457,87.6,92,0.0020434,6.58E-06,4.41E-06,0.973504669,87.6,95,0.222210776,0.023774398,0.048368311,1.010379801,86.6,95.8
10,glm_markov,500,0.002119444,6.17E-06,4.09E-06,1.04832425,87.4,92,0.002046256,6.49E-06,4.40E-06,0.975826139,87.6,95.8,0.225134043,0.023739483,0.048902489,1.018065424,85,96
26,ridge_undersmooth_markov_untruncated,500,0.002224434,7.76E-06,1.07E-05,0.680652992,95.2,93.8,0.002244095,8.14E-06,1.08E-05,0.683759987,91.6,96.2,0.242084288,0.029091514,0.108885455,0.733637745,95.6,94.6
27,ridge_undersmooth_untruncated,500,0.002276793,8.28E-06,1.08E-05,0.694162769,94,93.8,0.002334181,8.69E-06,1.08E-05,0.708658447,90.2,95,0.252079965,0.030773338,0.110006959,0.760025649,94.4,95
6,EN_undersmooth_markov_untruncated,500,0.002462268,1.00E-05,8.68E-06,0.835988715,91.2,94,0.00248493,1.04E-05,8.77E-06,0.83928778,87.6,95.6,0.268554778,0.037758193,0.082507658,0.934944331,89.4,94.8
18,glmnet_undersmooth_markov_untruncated,500,0.002467506,1.01E-05,8.75E-06,0.834007955,91.4,94.2,0.002490516,1.05E-05,8.84E-06,0.837439251,87.8,95.6,0.269086919,0.037972249,0.083063144,0.933659244,89.4,94.8
7,EN_undersmooth_untruncated,500,0.002545579,1.02E-05,9.21E-06,0.839007215,90,92.8,0.002492377,1.06E-05,9.31E-06,0.816689328,89.2,96,0.267333481,0.038239453,0.083792615,0.923528878,87.8,94.4
8,EN_untruncated,500,0.001900485,3.02E-06,2.56E-06,1.188216891,74,86.4,0.002525467,3.36E-06,2.86E-06,1.492376371,63.2,75.8,0.313242444,0.01174914,0.055464022,1.330071309,78.4,83.8
20,glmnet_untruncated,500,0.001890061,3.02E-06,2.49E-06,1.197677213,74,86.6,0.002532289,3.37E-06,2.79E-06,1.515268977,62,75.4,0.312294269,0.011720145,0.053796411,1.346441107,77.8,83.6
1,EN,500,0.001891539,2.81E-06,2.38E-06,1.226127781,73.4,85.6,0.002534847,3.15E-06,2.69E-06,1.546852361,62,72.8,0.314461284,0.010929043,0.053615215,1.358073129,78,82.4
3,EN_markov_untruncated,500,0.001925744,2.85E-06,2.38E-06,1.248474418,72.8,85.2,0.002537763,3.19E-06,2.68E-06,1.54938942,60.8,73.4,0.318345902,0.011163745,0.053460585,1.37683663,76.4,82
13,glmnet,500,0.001879867,2.82E-06,2.33E-06,1.2326562,73.8,85.6,0.002542577,3.16E-06,2.63E-06,1.5683517,61,73.2,0.313400827,0.010941816,0.052109176,1.372913053,77.4,82.6
2,EN_markov,500,0.001916986,2.72E-06,2.27E-06,1.27178729,72.4,84.4,0.002544129,3.05E-06,2.58E-06,1.585282817,60,71,0.318924658,0.01063167,0.052321054,1.394279547,76,80.8
23,ridge_markov_untruncated,500,0.001957689,3.18E-06,4.12E-06,0.964899962,81.2,87.2,0.002551414,3.53E-06,4.47E-06,1.207113546,72.4,76.2,0.321795854,0.012433548,0.088032579,1.084572858,87,83
11,glm_markov_untruncated,500,0.002530725,1.10E-05,1.04E-05,0.784481295,91.8,92.6,0.002552019,1.14E-05,1.07E-05,0.779565187,90.2,95.6,0.273359461,0.04215232,0.095169519,0.886104968,90.2,94.6
15,glmnet_markov_untruncated,500,0.001917224,2.84E-06,2.30E-06,1.263382045,72.6,85.2,0.002558496,3.18E-06,2.60E-06,1.585686016,58.8,73,0.318508587,0.011059818,0.051745956,1.400176992,75.4,82
14,glmnet_markov,500,0.001908503,2.72E-06,2.21E-06,1.283672795,72.4,84.4,0.002564697,3.06E-06,2.51E-06,1.618535556,58.8,70.2,0.319096247,0.010587598,0.050764137,1.416260668,75,81.2
28,ridge_untruncated,500,0.001968933,3.31E-06,4.31E-06,0.948333469,81.2,87.8,0.002580272,3.65E-06,4.67E-06,1.194615433,72.4,77.2,0.323060585,0.012860767,0.090467469,1.07408278,86.8,83.2
12,glm_untruncated,500,0.00260012,1.18E-05,1.06E-05,0.798923372,92.2,93.6,0.002603015,1.23E-05,1.09E-05,0.78819333,89.8,95.6,0.273729888,0.04493637,0.09339574,0.895691984,89.8,93.8
22,ridge_markov,500,0.001968852,2.63E-06,3.36E-06,1.073704093,78.2,81.4,0.002614347,2.95E-06,3.71E-06,1.356657725,69.2,68.6,0.330396567,0.010274938,0.079445198,1.172199956,85.2,79.6
19,glmnet_undersmooth_untruncated,364,0.00260651,1.11E-05,9.61E-06,0.840619959,89.56043956,93.40659341,0.002636179,1.20E-05,9.82E-06,0.841323209,87.91208791,96.42857143,0.278242455,0.042054239,0.084758464,0.955722605,86.53846154,94.50549451
21,ridge,500,0.00197483,2.65E-06,3.40E-06,1.071602008,78.4,81.8,0.002651824,2.97E-06,3.75E-06,1.369246318,69,66.4,0.33283633,0.010279487,0.080243366,1.174968318,85.4,79.4
