"","Estimator","estimator","N_reps.x","abs_bias_Ya1","estimator_variance_Ya1","mean_variance_Ya1","bias_se_ratio_Ya1","coverage_Ya1","O_coverage_Ya1","N_reps.y","abs_bias_RD","estimator_variance_RD","mean_variance_RD","bias_se_ratio_RD","coverage_RD","O_coverage_RD","abs_log_bias_RR","estimator_variance_RR","mean_variance_RR","bias_se_ratio_RR","coverage_RR","O_coverage_RR"
"1","iptw","ridge",500,0.00323965366056164,4.77596347888087e-06,3.59040725120016e-06,1.70972683295915,60.6,70.8,500,0.00425739072242266,5.20376006433223e-06,3.95166683149054e-06,2.14167392212352,44.2,55.4,0.168285698591615,0.00929601852993081,0.0293330790197043,0.982581049424301,87.2,93.4
"2","iptw","ridge_markov",500,0.00323965366056164,4.77596347888087e-06,3.55386498244375e-06,1.71849440206971,60,70.8,500,0.00425739072242266,5.20376006433223e-06,3.91104270741325e-06,2.15276800522065,44.2,55.4,0.168285698591615,0.00929601852993081,0.0290303805079834,0.987690430020015,86.8,93.4
"3","iptw","ridge_markov_untruncated",500,0.00323965366056164,4.77596347888087e-06,4.31261115099647e-06,1.56001377463621,63.8,70.8,500,0.00425739072242266,5.20376006433223e-06,4.66986331889633e-06,1.97011430611237,48,55.4,0.168285698591615,0.00929601852993081,0.0350069833868788,0.899435170455484,88.8,93.4
"4","iptw","ridge_undersmooth",500,0.00323965366056164,4.77596347888087e-06,5.13685953129825e-06,1.42938670677522,73.6,70.8,500,0.00425739072242266,5.20376006433223e-06,5.23345610297403e-06,1.86101218437888,52.4,55.4,0.168285698591615,0.00929601852993081,0.0411701257075429,0.82938487934571,94.8,93.4
"5","iptw","ridge_undersmooth_markov",500,0.00323965366056164,4.77596347888087e-06,5.12651147216627e-06,1.43082861532531,73.6,70.8,500,0.00425739072242266,5.20376006433223e-06,5.22091741916648e-06,1.86324557058331,51.6,55.4,0.168285698591615,0.00929601852993081,0.0410580925715673,0.830515658735575,94.6,93.4
"6","iptw","ridge_undersmooth_markov_untruncated",499,0.00324036841599786,4.78541936985597e-06,1.12427306790284e-05,0.966403483700396,88.7775551102204,70.9418837675351,499,0.00426160878363122,5.20576734787397e-06,1.13371552252085e-05,1.26567304908683,67.5350701402806,55.310621242485,0.168590080912094,0.00931080722460771,0.0879649204809724,0.568430355062626,96.5931863727455,93.3867735470942
"7","iptw","ridge_undersmooth_untruncated",441,0.00323453752590879,4.74540006236896e-06,1.16167192775022e-05,0.949009252655409,89.3424036281179,70.7482993197279,441,0.00426837811021716,5.15752191611587e-06,1.17116403710699e-05,1.24725145715168,68.7074829931973,55.328798185941,0.167172204810221,0.00921334838992312,0.0909792698919885,0.554233594477265,97.5056689342404,93.4240362811791
"8","iptw","ridge_untruncated",500,0.00323965366056164,4.77596347888087e-06,4.50285305058671e-06,1.52670348448705,65.8,70.8,500,0.00425739072242266,5.20376006433223e-06,4.86420026950333e-06,1.93035767064863,49,55.4,0.168285698591615,0.00929601852993081,0.0365392965824677,0.88037381875684,89,93.4
"9","tmle","ridge",500,0.00188691357390465,2.74501864958155e-06,3.54740323878724e-06,1.00183622144275,79.4,84.4,500,0.00253443782363473,2.94521142138463e-06,3.90249048441384e-06,1.28295290636657,70.4,69.2,0.31387195486124,0.0102980664323517,0.0801728193148787,1.10850826172281,87.2,80.2
"10","tmle","ridge_markov",500,0.00188370449950589,2.74730640642793e-06,3.51097424212429e-06,1.00530757156145,79.8,84.2,500,0.00249433220993617,2.94621940593031e-06,3.862019903727e-06,1.26924961711884,71.2,70.6,0.311156643371103,0.0103722524234372,0.0792591898695553,1.10523406829988,87.2,80.6
"11","tmle","ridge_markov_untruncated",500,0.00184661751468233,3.2058500337734e-06,4.25554877561078e-06,0.895156901005057,81.4,88.6,500,0.00239826977206874,3.40319658182362e-06,4.606594437214e-06,1.11739839754217,73.6,77,0.298636719299457,0.0121169431594059,0.0877347831441935,1.00822462961472,88,84.6
"12","tmle","ridge_undersmooth",500,0.00186141092964348,4.86135941022866e-06,5.02579906363684e-06,0.830308911431911,95.4,94.6,500,0.00184721217782572,5.06742387908674e-06,5.11919098325718e-06,0.816424665390159,90.2,96.2,0.203522445579183,0.0176163755067891,0.0622749403311138,0.815559503023066,95.8,95.2
"13","tmle","ridge_undersmooth_markov",500,0.00194254396158235,5.05799378082539e-06,5.01564226092435e-06,0.867376356240593,95.2,93.6,500,0.00186259987225121,5.23704635878032e-06,5.10677498648268e-06,0.824225805414277,91.4,96.2,0.206193426444324,0.0184712277885719,0.0598935940070017,0.842528554089663,94.2,96
"14","tmle","ridge_undersmooth_markov_untruncated",499,0.0023551464926422,7.89715676262712e-06,1.09110863946425e-05,0.712990804257851,95.3907815631263,92.9859719438878,499,0.00226251445180793,8.05185182083973e-06,1.10020586939063e-05,0.682109947677784,92.3847695390782,96.1923847695391,0.247771107705401,0.0289066046529557,0.108041503265766,0.753798646506688,96.3927855711423,94.7895791583166
"15","tmle","ridge_undersmooth_untruncated",441,0.00230600789021651,7.60074837448066e-06,1.12369937046077e-05,0.687916490227086,95.6916099773243,93.1972789115646,441,0.00222144608744483,7.83161748085037e-06,1.13281266915645e-05,0.660019442641777,92.7437641723356,95.9183673469388,0.23960022766716,0.0277816676546826,0.111175182965735,0.71859352557177,96.3718820861678,95.4648526077097
"16","tmle","ridge_untruncated",500,0.00185150552747747,3.28192767097228e-06,4.44123061696928e-06,0.878563892215066,80.8,89.6,500,0.00242472568378845,3.48621603980227e-06,4.7963178625937e-06,1.10715553157324,73.2,77.4,0.300017855261621,0.0123426574746943,0.0902767549373877,0.998525435732992,88.2,84.8
