"","analysis","abs_bias_RD","variance_RD","coverage_RD","O_coverage_RD","abs_bias_RR","variance_RR","coverage_RR","O_coverage_RR"
"1","sim_res_tab_EN",0.00241316818869406,3.22632407834783e-06,63.5,77.5,0.298866237533369,0.0115477882504479,80,86
"2","sim_res_tab_EN_markov",0.00254536466203146,2.80851046549805e-06,64,67,0.31900151264903,0.00969832702153124,77,76.5
"3","sim_res_tab_EN_undersmooth",0.00184016193140352,5.13022983914574e-06,85,94,0.200234796478646,0.0176188903697543,91,93
"4","sim_res_tab_EN_undersmooth_markov",0.00196774087120444,5.44603306144279e-06,92,97,0.212147379182538,0.0193842239670873,90,96.5
"5","sim_res_tab_glm",0.0021599913524856,7.37545597464024e-06,82,93,0.242407877729274,0.0264031665709427,83,95
"6","sim_res_tab_glmnet",0.00261756053172675,2.95805345427652e-06,60,67.5,0.322878824553473,0.0103928020462679,76,78
"7","sim_res_tab_glmnet_markov",0.00264535155264818,3.57118385580569e-06,59.5,74,0.332088685173202,0.0124483968026988,71.5,81
"8","sim_res_tab_glmnet_undersmooth",0.00190456155629811,4.8519202441863e-06,88.5,92.5,0.203494390466993,0.016395822031248,92,95
"9","sim_res_tab_glmnet_undersmooth_markov",0.00184648848721442,5.37121757728411e-06,90,94.5,0.201233953669116,0.0188506634706455,88.5,95
"10","sim_res_tab_ridge",0.00279437058029983,3.6871099902473e-06,65,70,0.358181239792846,0.012829433727833,80.5,80.5
"11","sim_res_tab_ridge_markov",0.00274987872220041,3.23225134629957e-06,69.5,70.5,0.343061977598037,0.0112307471358458,88.5,76.5
"12","sim_res_tab_ridge_undersmooth",0.002028749429213,5.91665465034981e-06,89.5,96,0.230333957147264,0.0206406129329709,94,95.5
"13","sim_res_tab_ridge_undersmooth_markov",0.00184386132065628,5.13552243550319e-06,92,94.5,0.20374926155046,0.0185031230297837,93,95
